v1	V(n005)	I(I1)	I(I2)	I(Ib)
3.910999999999966e+00	2.614206e+00	7.573893e-09	9.065353e-08	9.819806e-08
3.911999999999966e+00	2.614287e+00	7.786052e-09	9.044157e-08	9.819827e-08
3.912999999999966e+00	2.614371e+00	8.003321e-09	9.022451e-08	9.819848e-08
3.913999999999966e+00	2.614456e+00	8.225781e-09	9.000226e-08	9.819869e-08
3.914999999999965e+00	2.614544e+00	8.453511e-09	8.977475e-08	9.819890e-08
3.915999999999965e+00	2.614635e+00	8.686590e-09	8.954189e-08	9.819912e-08
3.916999999999965e+00	2.614727e+00	8.925095e-09	8.930362e-08	9.819936e-08
3.917999999999965e+00	2.614822e+00	9.169104e-09	8.905984e-08	9.819959e-08
3.918999999999965e+00	2.614919e+00	9.418689e-09	8.881049e-08	9.819983e-08
3.919999999999965e+00	2.615018e+00	9.673926e-09	8.855550e-08	9.820008e-08
