Freq.	V(v1)	V(vb)	V(vout)
1.90546071796324e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.97143563770356e-005dB,-7.61677766181414e-002°)
1.94984459975804e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.93745224989838e-005dB,-7.79419500869412e-002°)
1.99526231496887e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.90186727653645e-005dB,-7.97574492241901e-002°)
2.04173794466952e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.86460523918045e-005dB,-8.16152366183184e-002°)
2.08929613085403e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.82558709927811e-005dB,-8.35162972786029e-002°)
2.13796208950222e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.78473009461051e-005dB,-8.54616391573639e-002°)
2.18776162394954e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.74194756281809e-005dB,-8.74522936843223e-002°)
2.23872113856833e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.69714875644049e-005dB,-8.94893163133999e-002°)
2.29086765276776e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.65023865274862e-005dB,-9.15737870822511e-002°)
2.34422881531991e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.60111774949741e-005dB,-9.37068111848244e-002°)
2.39883291901948e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.54968185508505e-005dB,-9.58895195572550e-002°)
2.45470891568502e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.49582186829719e-005dB,-9.81230694773993e-002°)
2.51188643150957e+001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(2.43942354590024e-005dB,-1.00408645178330e-001°)
